HGenerator;HGenerator_cod;Name;Ghbus;Ghbus_Name;GENCO;GENCO_Name;Ghzone;Ghzone_Name;Qhmax;Qhmin;Rup;Rdown;Vmax;Vmin;Vi;p;pc;WV
92;134;Hydro 93;3;MG;18;GENCO 18;1;SECO;120;0;77;77;78;78;78;0.8;1.825;10.09
93;135;Hydro 94;3;MG;69;GENCO 69;1;SECO;243;0;78;78;89;56;73.94;0.402;1.025;10.04
94;139;Hydro 95;3;MG;13;GENCO 13;1;SECO;304;0;66;66;54.44;54.44;54.44;0.27;0.893;5.64
95;141;Hydro 96;3;MG;18;GENCO 18;1;SECO;763;0;103;103;38.07;31.42;35.01;0.169;0.623;9.78
96;143;Hydro 97;3;MG;18;GENCO 18;1;SECO;1240;0;253;253;185.52;156.55;183.98;0.255;0.453;9.77
97;144;Hydro 98;4;ES;32;GENCO 32;1;SECO;898;0;142;142;21.68;21.68;21.68;0.198;0.198;9.54
98;132;Hydro 91;2;RJ;60;GENCO 60;1;SECO;49;0;105;105;445.35;445.35;445.35;2.682;3.004;9.27
99;148;Hydro 99;3;MG;18;GENCO 18;1;SECO;251;0;280;280;5963.92;2267.94;4424.17;1.393;1.393;28.96
100;153;Hydro 100;5;MS;37;GENCO 37;1;SECO;136;0;33;33;131.3;116.45;124.88;0.306;0.481;9.48
101;154;Hydro 101;13;BA;63;GENCO 63;3;NE;618;0;353;353;1634;1634;1634;0.713;0.713;10.03
102;155;Hydro 102;3;MG;72;GENCO 72;1;SECO;221;0;59;59;241.59;200.72;205.26;0.331;0.733;56.12
103;156;Hydro 103;3;MG;18;GENCO 18;1;SECO;759;0;245;245;19528;4250;13485.55;0.403;0.403;60.76
104;162;Hydro 104;3;MG;18;GENCO 18;1;SECO;59;0;76;76;557;95.25;350.14;1.61;1.61;46.44
105;169;Hydro 105;13;BA;22;GENCO 22;3;NE;3717;0;675;675;34116;5447;24531.95;0.227;2.755;65.93
106;172;Hydro 106;18;PE;22;GENCO 22;3;NE;3159;0;1097;1097;10782;7234;10373.27;0.434;2.528;68.15
107;176;Hydro 107;13;BA;22;GENCO 22;3;NE;4007;0;3263;3263;1226;1226;1226;1.018;2.093;82.52666667
108;178;Hydro 108;19;AL;22;GENCO 22;3;NE;2870;0;2468;2468;3800;3800;3800;1.075;1.075;144.4
109;189;Hydro 109;13;BA;32;GENCO 32;3;NE;154;0;115;115;3134;2192;2896.99;0.934;0.934;67.84
110;190;Hydro 110;14;PI;22;GENCO 22;3;NE;594;0;175;175;5085;3173;4073.55;0.369;0.369;69.55
111;192;Hydro 111;3;MG;53;GENCO 53;1;SECO;121;0;97;97;12;12;12;1.004;2.56;6.99
112;193;Hydro 112;3;MG;18;GENCO 18;1;SECO;84;0;63;63;1;1;1;0.934;1.556;3.9
113;195;Hydro 113;7;MT;70;GENCO 70;1;SECO;123;0;91;91;17.15;16.17;17.04;0.927;0.927;10.21
114;196;Hydro 114;7;MT;11;GENCO 11;1;SECO;74;0;91;91;21;21;21;1.541;1.855;9.07
115;203;Hydro 115;6;GO;63;GENCO 63;1;SECO;261;0;71;71;972;709;839.4;0.341;4.244;9.75
116;204;Hydro 116;24;AP;32;GENCO 32;4;N;1332;0;149;149;230.56;230.56;230.56;0.14;0.469;6.38
117;215;Hydro 117;11;SC;75;GENCO 75;2;S;108;0;152;152;0.26;0.12;0.2;1.759;1.759;10.2
118;217;Hydro 118;4;ES;18;GENCO 18;1;SECO;28;0;38;38;11;11;11;1.686;1.686;10.18
119;227;Hydro 119;7;MT;31;GENCO 31;1;SECO;1237;0;225;225;3071.2;1012.4;2168.83;0.227;1.164;9.96
120;228;Hydro 120;7;MT;23;GENCO 23;1;SECO;1222;0;202;202;1525;1525;1525;0.207;0.937;9.89
121;229;Hydro 121;23;PA;63;GENCO 63;4;N;3463;0;1396;1396;897.22;897.22;897.22;0.504;0.73;9.78
122;230;Hydro 122;23;PA;32;GENCO 32;4;N;2891;0;523;523;577.22;577.22;577.22;0.226;0.226;9.43
123;241;Hydro 123;6;GO;73;GENCO 73;1;SECO;235;0;70;70;264.48;264.48;264.48;0.373;2.133;9.62
124;249;Hydro 124;1;SP;14;GENCO 14;1;SECO;412;0;32;32;20.82;20.82;20.82;0.096;2.307;9.22
125;251;Hydro 125;6;GO;49;GENCO 49;1;SECO;1111;0;863;863;54400;11150;36005.78;0.971;2.139;9.12
126;252;Hydro 126;6;GO;43;GENCO 43;1;SECO;1114;0;344;344;2300;2300;2300;0.386;1.168;9.15
127;253;Hydro 127;21;TO;43;GENCO 43;4;N;1043;0;179;179;952;952;952;0.214;0.782;9.1
128;257;Hydro 128;21;TO;32;GENCO 32;4;N;1970;0;374;374;2741;2212.7;2453.97;0.237;0.568;9.39
129;261;Hydro 129;21;TO;32;GENCO 32;4;N;2653;0;703;703;4940;4940;4940;0.331;0.331;9.37
130;262;Hydro 130;6;GO;27;GENCO 27;1;SECO;248;0;89;89;826.06;826.06;826.06;0.449;2.582;9.73
131;267;Hydro 131;22;MA;43;GENCO 43;4;N;4805;0;807;807;5400;5400;5400;0.21;0.741;9.4
132;272;Hydro 132;23;PA;35;GENCO 35;4;N;223;0;28;28;602;133;594.36;0.157;0.157;9.6
133;275;Hydro 133;23;PA;35;GENCO 35;4;N;13099;0;5564;5564;50275;11293;34647.12;0.531;0.531;9.8
134;276;Hydro 134;8;RO;34;GENCO 34;1;SECO;129;0;53;53;478.29;192.17;307.93;0.517;0.517;10.27
